Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3
Benevolencia,0.44347108487272263,0.2968958293658351,0.05491017583952263,0.08430140290738272,0.07116104868913857,0.08512664254427728,0.08169872405256141,0.07020884910810639,0.07306544785120295,0.0789690852536025,0.050530057766774585,0.038913222878181934,0.046975179330921095,0.08734844156668571,0.11178823081317844,0.1074715927124992,0.09337903891322288,0.09122071986288326,0.13552974036691423,0.16231828857995304,0.095029518187012,0.09598171776804418,0.07408112740430395,0.12315114581349584,0.08569796229289658,0.1338157811210563
Universalismo,0.2968958293658351,0.9861296261029645,0.0284072875007935,0.20173935123468545,0.15051101377515394,0.18018790071732368,0.1291182631879642,0.1703802450326922,0.24919063035612266,0.1395607185932838,0.16387354789563893,0.20627816923760553,0.13654541992001523,0.24776233098457437,0.25379292833111156,0.28416809496603823,0.27258300006347996,0.15358979242049134,0.27458261918364757,0.38094331238494256,0.21253094648638354,0.20961086777121818,0.25134894940646224,0.2701707611248651,0.23719291563511713,0.25328508855456106
Poder,0.05491017583952263,0.0284072875007935,1.1438138767218942,0.46365771599060496,-0.046467339554370594,0.004919697835332953,-0.11845362788040373,0.0019678791341331808,7.300196787913414e-4,0.0021265790643052117,-0.046943439344886685,-0.01761569224909541,-0.007173236843775788,0.022789309972703613,0.0018409191899955563,-0.03037516663492668,0.03618358407922301,0.010188535517044373,-0.028597727416999938,0.014219513743413953,-0.050783977655049835,0.03637402399542944,-0.07277978797689329,-0.023233669777185297,-0.051260077445565926,0.041071541928521554
Logro,0.08430140290738272,0.20173935123468545,0.46365771599060496,1.1350219005903637,0.10924903193042595,0.15787469053513617,0.025138068939249667,0.0733193677394782,0.11896146765695423,0.1451152161493049,0.08595188218117183,0.04760997905160922,0.08703104170634166,0.10423411413698978,0.19215387545229481,0.12042150701453691,0.22256078207325589,0.15844601028375546,0.15730337078651685,0.18206055989335365,0.08747540151082334,0.10080619564527392,0.014536913603758014,0.0800482447787723,0.19412175458642797,0.08246048371738716
APS1,0.07116104868913857,0.15051101377515394,-0.046467339554370594,0.10924903193042595,0.6829175395162826,0.36075668126706023,0.30038722782961974,0.21322922617914047,0.29461055037135786,0.2055481495588142,0.2200850631625722,0.23678029581666984,0.25226940900146005,0.20999174760363107,0.18999555640195517,0.22948009902875643,0.26566368310797944,0.19501047419539136,0.17622040246302292,0.24058909414079857,0.16415920776994858,0.12537294483590428,0.164349647686155,0.22281470196153114,0.2324001777439218,0.1601599695296134
APS2,0.08512664254427728,0.18018790071732368,0.004919697835332953,0.15787469053513617,0.36075668126706023,0.6084237922935314,0.31340062210372627,0.2535390084428363,0.3181298800228528,0.2698851012505554,0.2608709452167841,0.28162889608328573,0.2950549101758395,0.21170570684948897,0.25176156922490955,0.2498889100488796,0.31447978162889606,0.23585983622167206,0.20697644893036246,0.3007681076620326,0.20992826763156225,0.18720243763092745,0.18729765758903066,0.20015235193296516,0.16653970672252905,0.1512727734399797
APS3,0.08169872405256141,0.1291182631879642,-0.11845362788040373,0.025138068939249667,0.30038722782961974,0.31340062210372627,0.7018345711927887,0.23157493810702723,0.24027169428045453,0.29289659112549993,0.29156351171205486,0.23284453754840348,0.23278105757633466,0.1481622548086079,0.16669840665270108,0.2325271376880594,0.19037643623436806,0.1922173554243636,0.16339744810512283,0.26617152288452994,0.17368120358027042,0.15209801307687423,0.17393512346854567,0.15584333142893417,0.1592077699485812,0.11750142829937155
APS4,0.07020884910810639,0.1703802450326922,0.0019678791341331808,0.0733193677394782,0.21322922617914047,0.2535390084428363,0.23157493810702723,0.505935377388434,0.33403161302609025,0.20738906874880975,0.1823144797816289,0.291182631879642,0.22649654034152225,0.20897606805053007,0.2159588649780994,0.210690027296388,0.2365263759283946,0.10677331301974227,0.11781882815971562,0.20053323176537802,0.15063797371929155,0.1291182631879642,0.2003427918491716,0.1885355170443725,0.13102266235002857,0.15768425061892974
APS5,0.07306544785120295,0.24919063035612266,7.300196787913414e-4,0.11896146765695423,0.29461055037135786,0.3181298800228528,0.24027169428045453,0.33403161302609025,0.61972322732178,0.2724877801053768,0.23065447851202944,0.30029200787151655,0.3264140163778328,0.31371802196407034,0.27931187710277405,0.26423538373643113,0.32393829746714914,0.23306671745064433,0.22240208214308385,0.2755030787786453,0.1912016758712626,0.1404811781882816,0.18558369834317273,0.28007363676759983,0.2289405192661715,0.17076112486510506
APS6,0.0789690852536025,0.1395607185932838,0.0021265790643052117,0.1451152161493049,0.2055481495588142,0.2698851012505554,0.29289659112549993,0.20738906874880975,0.2724877801053768,0.4542944201104552,0.2840411350219006,0.2206246429251571,0.22744873992255443,0.2081508284136355,0.16466704754649908,0.2293213990985844,0.2209737827715356,0.2547133879261093,0.2624579445185044,0.18034660064749572,0.19932711229607059,0.2370342157049451,0.19180473560591632,0.18187011997714722,0.1704754649907954,0.1058845934107789
APS7,0.050530057766774585,0.16387354789563893,-0.046943439344886685,0.08595188218117183,0.2200850631625722,0.2608709452167841,0.29156351171205486,0.1823144797816289,0.23065447851202944,0.2840411350219006,0.49682600139655936,0.22246556211515267,0.24376309274423918,0.19551831397194186,0.1461308957024059,0.23008315876341015,0.188027677267822,0.2709642607757253,0.24512791214371865,0.25595124738145114,0.22713134006221036,0.12365898559004634,0.23516155652891513,0.21456230559258554,0.23268583761823144,0.1234685456738399
